fold,test_subject,eval_unit,subject,condition,file_path,prob,target,win_acc,win_f1,win_auc,win_mcc,file_acc,file_f1,file_auc,file_mcc
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.12353672087192535,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.30244180560112,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.3369141221046448,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.0747966468334198,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.08548158407211304,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.15899284183979034,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.060661330819129944,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.033912550657987595,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.09606148302555084,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.08995814621448517,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.027271727100014687,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.025290219113230705,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.03978537768125534,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.07237192988395691,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.09699546545743942,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.03471009060740471,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.012559181079268456,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.06904687732458115,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.20530974864959717,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.18913476169109344,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.05965440347790718,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.10966610908508301,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.20141088962554932,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.05899728089570999,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.1075366735458374,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.12282345443964005,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.049906156957149506,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.07659510523080826,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.1176786795258522,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.0318610854446888,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.05458610877394676,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.12065199762582779,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.06884968280792236,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.17520684003829956,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.3090919256210327,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.16357778012752533,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.06304113566875458,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.05963060259819031,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.10466136038303375,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.1541328728199005,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.11633502691984177,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.11835677921772003,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.029879003763198853,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.007292804308235645,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.011512516066432,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.17175357043743134,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.20703312754631042,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.02404741942882538,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.04780550301074982,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.16747434437274933,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.11453700810670853,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.12273228168487549,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.1643136888742447,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/raw_windows\Subject00_1.npz,0.05924736708402634,0,,,,,,,,
