fold,test_subject,eval_unit,subject,window_idx,prob,target
1,Subject00,window,Subject00,tensor(0),0.5811687111854553,0
1,Subject00,window,Subject00,tensor(1),0.38377922773361206,0
1,Subject00,window,Subject00,tensor(2),0.46627840399742126,0
1,Subject00,window,Subject00,tensor(3),0.4654161334037781,0
1,Subject00,window,Subject00,tensor(4),0.6776190400123596,0
1,Subject00,window,Subject00,tensor(5),0.4278438687324524,0
1,Subject00,window,Subject00,tensor(6),0.4655229449272156,0
1,Subject00,window,Subject00,tensor(7),0.5178813338279724,0
1,Subject00,window,Subject00,tensor(8),0.461899071931839,0
1,Subject00,window,Subject00,tensor(9),0.41068920493125916,0
1,Subject00,window,Subject00,tensor(10),0.17583617568016052,0
1,Subject00,window,Subject00,tensor(11),0.5488609075546265,0
1,Subject00,window,Subject00,tensor(12),0.17209862172603607,0
1,Subject00,window,Subject00,tensor(13),0.3573579788208008,0
1,Subject00,window,Subject00,tensor(14),0.030904186889529228,0
1,Subject00,window,Subject00,tensor(15),0.043573424220085144,0
1,Subject00,window,Subject00,tensor(16),0.1375119686126709,0
1,Subject00,window,Subject00,tensor(17),0.6719470620155334,0
1,Subject00,window,Subject00,tensor(18),0.26806360483169556,0
1,Subject00,window,Subject00,tensor(19),0.09686494618654251,0
1,Subject00,window,Subject00,tensor(20),0.11198334395885468,0
1,Subject00,window,Subject00,tensor(21),0.659977912902832,0
1,Subject00,window,Subject00,tensor(22),0.11093058437108994,0
1,Subject00,window,Subject00,tensor(23),0.6717330813407898,0
1,Subject00,window,Subject00,tensor(24),0.5752722024917603,0
1,Subject00,window,Subject00,tensor(25),0.06345812976360321,0
1,Subject00,window,Subject00,tensor(26),0.06279647350311279,0
1,Subject00,window,Subject00,tensor(27),0.5409731864929199,0
1,Subject00,window,Subject00,tensor(28),0.0299784354865551,0
1,Subject00,window,Subject00,tensor(29),0.04787213355302811,0
1,Subject00,window,Subject00,tensor(30),0.6345116496086121,0
1,Subject00,window,Subject00,tensor(31),0.5839537382125854,0
1,Subject00,window,Subject00,tensor(32),0.04875916615128517,0
1,Subject00,window,Subject00,tensor(33),0.030657263472676277,0
1,Subject00,window,Subject00,tensor(34),0.05529286712408066,0
1,Subject00,window,Subject00,tensor(35),0.570572018623352,1
1,Subject00,window,Subject00,tensor(36),0.6665385961532593,1
1,Subject00,window,Subject00,tensor(37),0.06124197319149971,1
1,Subject00,window,Subject00,tensor(38),0.4786803126335144,1
1,Subject00,window,Subject00,tensor(39),0.1761186420917511,1
1,Subject00,window,Subject00,tensor(40),0.10593929141759872,1
1,Subject00,window,Subject00,tensor(41),0.034412775188684464,1
1,Subject00,window,Subject00,tensor(42),0.3729454576969147,1
1,Subject00,window,Subject00,tensor(43),0.2967558801174164,1
1,Subject00,window,Subject00,tensor(44),0.6529380679130554,1
1,Subject00,window,Subject00,tensor(45),0.45765092968940735,1
2,Subject01,window,Subject01,tensor(46),0.6808727383613586,0
2,Subject01,window,Subject01,tensor(47),0.6915022134780884,0
2,Subject01,window,Subject01,tensor(48),0.5048919916152954,0
2,Subject01,window,Subject01,tensor(49),0.35389402508735657,0
2,Subject01,window,Subject01,tensor(50),0.31952112913131714,0
2,Subject01,window,Subject01,tensor(51),0.08169662207365036,0
2,Subject01,window,Subject01,tensor(52),0.47920292615890503,0
2,Subject01,window,Subject01,tensor(53),0.6694257259368896,0
2,Subject01,window,Subject01,tensor(54),0.39437177777290344,0
2,Subject01,window,Subject01,tensor(55),0.32330599427223206,0
2,Subject01,window,Subject01,tensor(56),0.0857204869389534,0
2,Subject01,window,Subject01,tensor(57),0.08066511899232864,0
2,Subject01,window,Subject01,tensor(58),0.12405389547348022,0
2,Subject01,window,Subject01,tensor(59),0.4348400831222534,0
2,Subject01,window,Subject01,tensor(60),0.4719095826148987,0
2,Subject01,window,Subject01,tensor(61),0.16757647693157196,0
2,Subject01,window,Subject01,tensor(62),0.3125365078449249,0
2,Subject01,window,Subject01,tensor(63),0.24499942362308502,0
